2 4 2
0.438504 0.988181 0.988181 0.438504
0.258216 0.115231 0.115231 0.258216
0.595542 0.723456 0.723456 0.595542
0.783413 0.96806 0.96806 0.783413
0.110572 0.634904 0.634904 0.110572
0.0832631 0.342729 0.342729 0.0832631
0.684984 0.536397 0.536397 0.684984
0.308918 0.257497 0.257497 0.308918
0.692666 0.573698 0.573698 0.692666
0.952031 0.615762 0.615762 0.952031
0.161247 0.130191 0.130191 0.161247
0.224514 0.564048 0.564048 0.224514
0.104576 0.198146 0.198146 0.104576
0.178559 0.517527 0.517527 0.178559
0.890112 0.543389 0.543389 0.890112
0.558967 0.550617 0.550617 0.558967
0.935198 0.340841 0.340841 0.935198
0.891157 0.991415 0.991415 0.891157
0.463074 0.341329 0.341329 0.463074
0.941611 0.946117 0.946117 0.941611
0.778448 0.23526 0.23526 0.778448
0.859849 0.279803 0.279803 0.859849
0.416834 0.73597 0.73597 0.416834
0.351147 0.139982 0.139982 0.351147
0.676524 0.0606595 0.0606595 0.676524
0.48298 0.556659 0.556659 0.48298
0.487356 0.0269028 0.0269028 0.487356
0.011804 0.163319 0.163319 0.011804
0.25355 0.0896792 0.0896792 0.25355
0.182899 0.737775 0.737775 0.182899
0.0963616 0.273334 0.273334 0.0963616
0.552913 0.728742 0.728742 0.552913
0.0425148 0.323675 0.323675 0.0425148
0.104501 0.508775 0.508775 0.104501
0.414088 0.232123 0.232123 0.414088
0.332993 0.132821 0.132821 0.332993
0.453686 0.831412 0.831412 0.453686
0.339119 0.817333 0.817333 0.339119
0.11635 0.400888 0.400888 0.11635
0.867882 0.384689 0.384689 0.867882
0.620628 0.589135 0.589135 0.620628
0.556342 0.392989 0.392989 0.556342
0.602188 0.422628 0.422628 0.602188
0.9857 0.734457 0.734457 0.9857
0.370607 0.0415005 0.0415005 0.370607
0.792777 0.176595 0.176595 0.792777
0.0764007 0.535753 0.535753 0.0764007
0.623335 0.95544 0.95544 0.623335
0.919665 0.784662 0.784662 0.919665
0.58832 0.10946 0.10946 0.58832
0.68786 0.830478 0.830478 0.68786
0.449048 0.00677012 0.00677012 0.449048
0.123535 0.515199 0.515199 0.123535
0.0531254 0.467346 0.467346 0.0531254
0.777616 0.352243 0.352243 0.777616
0.511345 0.0324473 0.0324473 0.511345
0.835417 0.110194 0.110194 0.835417
0.662831 0.118121 0.118121 0.662831
0.172698 0.926905 0.926905 0.172698
0.328788 0.98112 0.98112 0.328788
0.654448 0.133995 0.133995 0.654448
0.311596 0.561561 0.561561 0.311596
0.357589 0.572044 0.572044 0.357589
0.28163 0.302019 0.302019 0.28163
0.722859 0.188363 0.188363 0.722859
0.776511 0.896882 0.896882 0.776511
0.587689 0.284717 0.284717 0.587689
0.136457 0.154596 0.154596 0.136457
0.661308 0.879314 0.879314 0.661308
0.744765 0.203423 0.203423 0.744765
0.230634 0.5197 0.5197 0.230634
0.416358 0.409625 0.409625 0.416358
0.0964594 0.364187 0.364187 0.0964594
0.516925 0.73334 0.73334 0.516925
0.72267 0.782782 0.782782 0.72267
0.74645 0.795456 0.795456 0.74645
0.296101 0.328515 0.328515 0.296101
0.34709 0.982325 0.982325 0.34709
0.804642 0.544289 0.544289 0.804642
0.864177 0.315983 0.315983 0.864177
0.960962 0.891566 0.891566 0.960962
0.405892 0.484188 0.484188 0.405892
0.392478 0.0673577 0.0673577 0.392478
0.98975 0.934933 0.934933 0.98975
0.951031 0.875322 0.875322 0.951031
0.275721 0.215145 0.215145 0.275721
0.20614 0.516366 0.516366 0.20614
0.0565501 0.26491 0.26491 0.0565501
0.774087 0.266154 0.266154 0.774087
0.156699 0.833677 0.833677 0.156699
0.587563 0.10416 0.10416 0.587563
0.00720044 0.851247 0.851247 0.00720044
